Conference,Paper Title,Author Names
InfoVis,"Matches, Mismatches, and Methods: Multiple-View Workflows for Energy Portfolio Analysis","Brehmer, M."
InfoVis,"Matches, Mismatches, and Methods: Multiple-View Workflows for Energy Portfolio Analysis","Munzner, T."
InfoVis,"Matches, Mismatches, and Methods: Multiple-View Workflows for Energy Portfolio Analysis","Ng, J."
InfoVis,Off the Radar: Comparative Evaluation of Radial Visualization Solutions for Composite Indicators,"Rafaeli, S."
InfoVis,Off the Radar: Comparative Evaluation of Radial Visualization Solutions for Composite Indicators,"Bak, P."
InfoVis,Off the Radar: Comparative Evaluation of Radial Visualization Solutions for Composite Indicators,"Lanir, J."
InfoVis,Off the Radar: Comparative Evaluation of Radial Visualization Solutions for Composite Indicators,"Albo, Y."
InfoVis,Optimal Sets of Projections of High-Dimensional Data,"Theisel, H."
InfoVis,Optimal Sets of Projections of High-Dimensional Data,"Lehmann, D.J."
InfoVis,Orientation-Enhanced Parallel Coordinate Plots,"Raidou, R.G."
InfoVis,Orientation-Enhanced Parallel Coordinate Plots,"Breeuwer, M."
InfoVis,Orientation-Enhanced Parallel Coordinate Plots,"Eisemann, E."
InfoVis,Orientation-Enhanced Parallel Coordinate Plots,"Eisemann, M."
InfoVis,Orientation-Enhanced Parallel Coordinate Plots,"Vilanova, A."
InfoVis,Poemage: Visualizing the Sonic Topology of a Poem,"Lein, J."
InfoVis,Poemage: Visualizing the Sonic Topology of a Poem,"McCurdy, N."
InfoVis,Poemage: Visualizing the Sonic Topology of a Poem,"Coles, K."
InfoVis,Poemage: Visualizing the Sonic Topology of a Poem,"Meyer, M."
InfoVis,Probing Projections: Interaction Techniques for Interpreting Arrangements and Errors of Dimensionality Reductions,"D?rk, M."
InfoVis,Probing Projections: Interaction Techniques for Interpreting Arrangements and Errors of Dimensionality Reductions,"M?ller, B."
InfoVis,Probing Projections: Interaction Techniques for Interpreting Arrangements and Errors of Dimensionality Reductions,"Thom, A."
InfoVis,Probing Projections: Interaction Techniques for Interpreting Arrangements and Errors of Dimensionality Reductions,"Stahnke, J."
InfoVis,Reactive Vega: A Streaming Dataflow Architecture for Declarative Interactive Visualization,"Heer, J."
InfoVis,Reactive Vega: A Streaming Dataflow Architecture for Declarative Interactive Visualization,"Russell, R."
InfoVis,Reactive Vega: A Streaming Dataflow Architecture for Declarative Interactive Visualization,"Satyanarayan, A."
InfoVis,Reactive Vega: A Streaming Dataflow Architecture for Declarative Interactive Visualization,"Hoffswell, J."
InfoVis,SchemeLens: A Content-Aware Vector-Based Fisheye Technique for Navigating Large Systems Diagrams,"Lecolinet, E."
InfoVis,SchemeLens: A Content-Aware Vector-Based Fisheye Technique for Navigating Large Systems Diagrams,"Bailly, G."
InfoVis,SchemeLens: A Content-Aware Vector-Based Fisheye Technique for Navigating Large Systems Diagrams,"Coh?, A."
InfoVis,SchemeLens: A Content-Aware Vector-Based Fisheye Technique for Navigating Large Systems Diagrams,"Liutkus, B."
InfoVis,SchemeLens: A Content-Aware Vector-Based Fisheye Technique for Navigating Large Systems Diagrams,"Eagan, J."
InfoVis,Sketching Designs Using the Five Design-Sheet Methodology,"Ritsos, P.D."
InfoVis,Sketching Designs Using the Five Design-Sheet Methodology,"Headleand, C."
InfoVis,Sketching Designs Using the Five Design-Sheet Methodology,"Roberts, J.C."
InfoVis,Spatial Reasoning and Data Displays,"Hofmann, H."
InfoVis,Spatial Reasoning and Data Displays,"VanderPlas, S."
InfoVis,Speculative Practices: Utilizing InfoVis to Explore Untapped Literary Collections,"Forlini, S."
InfoVis,Speculative Practices: Utilizing InfoVis to Explore Untapped Literary Collections,"Hinrichs, U."
InfoVis,Speculative Practices: Utilizing InfoVis to Explore Untapped Literary Collections,"Moynihan, B."
InfoVis,Suggested Interactivity: Seeking Perceived Affordances for Information Visualization,"Boy, J."
InfoVis,Suggested Interactivity: Seeking Perceived Affordances for Information Visualization,"Fekete, J.-D."
InfoVis,Suggested Interactivity: Seeking Perceived Affordances for Information Visualization,"Eveillard, L."
InfoVis,Suggested Interactivity: Seeking Perceived Affordances for Information Visualization,"Detienne, F."
InfoVis,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,"Madhyastha, T."
InfoVis,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,"Grabowski, T."
InfoVis,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,Conglei Shi
InfoVis,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,"Heulot, N."
InfoVis,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,"Dragicevic, P."
InfoVis,Time Curves: Folding Time to Visualize Patterns of Temporal Evolution in Data,"Bach, B."
InfoVis,TimeNotes: A Study on Effective Chart Visualization and Interaction Techniques for Time-Series Data,"Walker, J."
InfoVis,TimeNotes: A Study on Effective Chart Visualization and Interaction Techniques for Time-Series Data,"Jones, M.W."
InfoVis,TimeNotes: A Study on Effective Chart Visualization and Interaction Techniques for Time-Series Data,"Borgo, R."
InfoVis,TimeSpan: Using Visualization to Explore Temporal Multi-dimensional Data of Stroke Patients,"Perin, C."
InfoVis,TimeSpan: Using Visualization to Explore Temporal Multi-dimensional Data of Stroke Patients,"Hill, M."
InfoVis,TimeSpan: Using Visualization to Explore Temporal Multi-dimensional Data of Stroke Patients,"Loorak, M.H."
InfoVis,TimeSpan: Using Visualization to Explore Temporal Multi-dimensional Data of Stroke Patients,"Kamal, N."
InfoVis,TimeSpan: Using Visualization to Explore Temporal Multi-dimensional Data of Stroke Patients,"Carpendale, S."
InfoVis,Vials: Visualizing Alternative Splicing of Genes,"Botros, J."
InfoVis,Vials: Visualizing Alternative Splicing of Genes,"Lex, A."
InfoVis,Vials: Visualizing Alternative Splicing of Genes,"Borowsky, M."
InfoVis,Vials: Visualizing Alternative Splicing of Genes,"Peterson, B."
InfoVis,Vials: Visualizing Alternative Splicing of Genes,"Pfister, H."
InfoVis,Vials: Visualizing Alternative Splicing of Genes,"Strobelt, H."
InfoVis,Vials: Visualizing Alternative Splicing of Genes,"Alsallakh, B."
InfoVis,Visual Encodings of Temporal Uncertainty: A Comparative User Study,"Miksch, S."
InfoVis,Visual Encodings of Temporal Uncertainty: A Comparative User Study,"B?gl, M."
InfoVis,Visual Encodings of Temporal Uncertainty: A Comparative User Study,"Gschwandtner, T."
InfoVis,Visual Encodings of Temporal Uncertainty: A Comparative User Study,"Federico, P."
InfoVis,Visual Mementos: Reflecting Memories with Personal Data,"Thudt, A."
InfoVis,Visual Mementos: Reflecting Memories with Personal Data,"Baur, D."
InfoVis,Visual Mementos: Reflecting Memories with Personal Data,"Huron, S."
InfoVis,Visual Mementos: Reflecting Memories with Personal Data,"Carpendale, S."
InfoVis,"Visualization, Selection, and Analysis of Traffic Flows","Hurter, C."
InfoVis,"Visualization, Selection, and Analysis of Traffic Flows","Scheepens, R."
InfoVis,"Visualization, Selection, and Analysis of Traffic Flows","van de Wetering, H."
InfoVis,"Visualization, Selection, and Analysis of Traffic Flows","van Wijk, J.J."
InfoVis,Visualizing Multiple Variables Across Scale and Geography,"Goodwin, S."
InfoVis,Visualizing Multiple Variables Across Scale and Geography,"Slingsby, A."
InfoVis,Visualizing Multiple Variables Across Scale and Geography,"Turkay, C."
InfoVis,Visualizing Multiple Variables Across Scale and Geography,"Dykes, J."
InfoVis,Visually Comparing Weather Features in Forecasts,"Quinan, P.S."
InfoVis,Visually Comparing Weather Features in Forecasts,"Meyer, M."
InfoVis,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,"Heer, J."
InfoVis,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,"Mackinlay, J."
InfoVis,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,"Wongsuphasawat, K."
InfoVis,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,"Anand, A."
